"Term Code","Subject Code","Course"
"2228","CPE","CPE 100"
"2228","CPE","CPE 100"
"2228","CPE","CPE 133"
"2228","CPE","CPE 133"
"2228","CPE","CPE 133"
"2228","CPE","CPE 133"
"2228","CPE","CPE 133"
"2228","CPE","CPE 133"
"2228","CPE","CPE 133"
"2228","CPE","CPE 133"
"2228","CPE","CPE 133"
"2228","CPE","CPE 133"
"2228","CPE","CPE 133"
"2228","CPE","CPE 133"
"2228","CPE","CPE 133"
"2228","CPE","CPE 133"
"2228","CPE","CPE 133"
"2228","CPE","CPE 133"
"2228","CPE","CPE 133"
"2228","CPE","CPE 200"
"2228","CPE","CPE 200"
"2228","CPE","CPE 200"
"2228","CPE","CPE 200"
"2228","CPE","CPE 200"
"2228","CPE","CPE 200"
"2228","CPE","CPE 200"
"2228","CPE","CPE 200"
"2228","CPE","CPE 200"
"2228","CPE","CPE 200"
"2228","CPE","CPE 200"
"2228","CPE","CPE 200"
"2228","CPE","CPE 200"
"2228","CPE","CPE 200"
"2228","CPE","CPE 200"
"2228","CPE","CPE 200"
"2228","CPE","CPE 200"
"2228","CPE","CPE 225"
"2228","CPE","CPE 225"
"2228","CPE","CPE 225"
"2228","CPE","CPE 225"
"2228","CPE","CPE 225"
"2228","CPE","CPE 225"
"2228","CPE","CPE 233"
"2228","CPE","CPE 233"
"2228","CPE","CPE 315"
"2228","CPE","CPE 315"
"2228","CPE","CPE 315"
"2228","CPE","CPE 315"
"2228","CPE","CPE 315"
"2228","CPE","CPE 315"
"2228","CPE","CPE 315"
"2228","CPE","CPE 315"
"2228","CPE","CPE 316"
"2228","CPE","CPE 316"
"2228","CPE","CPE 316"
"2228","CPE","CPE 316"
"2228","CPE","CPE 333"
"2228","CPE","CPE 333"
"2228","CPE","CPE 350"
"2228","CPE","CPE 350"
"2228","CPE","CPE 350"
"2228","CPE","CPE 350"
"2228","CPE","CPE 350"
"2228","CPE","CPE 350"
"2228","CPE","CPE 350"
"2228","CPE","CPE 350"
"2228","CPE","CPE 350"
"2228","CPE","CPE 350"
"2228","CPE","CPE 400"
"2228","CPE","CPE 400"
"2228","CPE","CPE 400"
"2228","CPE","CPE 400"
"2228","CPE","CPE 400"
"2228","CPE","CPE 400"
"2228","CPE","CPE 400"
"2228","CPE","CPE 400"
"2228","CPE","CPE 400"
"2228","CPE","CPE 400"
"2228","CPE","CPE 400"
"2228","CPE","CPE 400"
"2228","CPE","CPE 400"
"2228","CPE","CPE 400"
"2228","CPE","CPE 400"
"2228","CPE","CPE 400"
"2228","CPE","CPE 400"
"2228","CPE","CPE 416"
"2228","CPE","CPE 416"
"2228","CPE","CPE 419"
"2228","CPE","CPE 419"
"2228","CPE","CPE 422"
"2228","CPE","CPE 422"
"2228","CPE","CPE 426"
"2228","CPE","CPE 426"
"2228","CPE","CPE 442"
"2228","CPE","CPE 442"
"2228","CPE","CPE 446"
"2228","CPE","CPE 446"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 461"
"2228","CPE","CPE 462"
"2228","CPE","CPE 462"
"2228","CPE","CPE 462"
"2228","CPE","CPE 462"
"2228","CPE","CPE 462"
"2228","CPE","CPE 462"
"2228","CPE","CPE 462"
"2228","CPE","CPE 462"
"2228","CPE","CPE 462"
"2228","CPE","CPE 462"
"2228","CPE","CPE 462"
"2228","CPE","CPE 462"
"2228","CPE","CPE 462"
"2228","CPE","CPE 462"
"2228","CPE","CPE 462"
"2228","CPE","CPE 462"
"2228","CPE","CPE 462"
"2228","CPE","CPE 464"
"2228","CPE","CPE 464"
"2228","CPE","CPE 493"
"2228","CPE","CPE 494"
"2228","CPE","CPE 495"
"2228","CPE","CPE 523"
"2228","CPE","CPE 523"
"2228","CSC","CSC 564"
"2228","CSC","CSC 564"
