"Term Code","Subject Code","Course"
"2228","CPE","CPE 101"
"2228","CPE","CPE 101"
"2228","CPE","CPE 101"
"2228","CPE","CPE 101"
"2228","CPE","CPE 101"
"2228","CPE","CPE 101"
"2228","CPE","CPE 101"
"2228","CPE","CPE 101"
"2228","CPE","CPE 101"
"2228","CPE","CPE 101"
"2228","CPE","CPE 123"
"2228","CPE","CPE 123"
"2228","CPE","CPE 123"
"2228","CPE","CPE 123"
"2228","CPE","CPE 123"
"2228","CPE","CPE 123"
"2228","CPE","CPE 123"
"2228","CPE","CPE 123"
"2228","CPE","CPE 123"
"2228","CPE","CPE 123"
"2228","CPE","CPE 123"
"2228","CPE","CPE 123"
"2228","CPE","CPE 123"
"2228","CPE","CPE 123"
"2228","CPE","CPE 123"
"2228","CPE","CPE 123"
"2228","CPE","CPE 202"
"2228","CPE","CPE 202"
"2228","CPE","CPE 202"
"2228","CPE","CPE 202"
"2228","CPE","CPE 202"
"2228","CPE","CPE 202"
"2228","CPE","CPE 202"
"2228","CPE","CPE 202"
"2228","CPE","CPE 202"
"2228","CPE","CPE 202"
"2228","CPE","CPE 203"
"2228","CPE","CPE 203"
"2228","CPE","CPE 203"
"2228","CPE","CPE 203"
"2228","CPE","CPE 203"
"2228","CPE","CPE 203"
"2228","CPE","CPE 203"
"2228","CPE","CPE 203"
"2228","CPE","CPE 203"
"2228","CPE","CPE 203"
"2228","CPE","CPE 203"
"2228","CPE","CPE 203"
"2228","CPE","CPE 203"
"2228","CPE","CPE 203"
"2228","CPE","CPE 203"
"2228","CPE","CPE 203"
"2228","CPE","CPE 321"
"2228","CPE","CPE 321"
"2228","CPE","CPE 321"
"2228","CPE","CPE 321"
"2228","CPE","CPE 357"
"2228","CPE","CPE 357"
"2228","CPE","CPE 357"
"2228","CPE","CPE 357"
"2228","CPE","CPE 357"
"2228","CPE","CPE 357"
"2228","CPE","CPE 357"
"2228","CPE","CPE 357"
"2228","CPE","CPE 453"
"2228","CPE","CPE 453"
"2228","CPE","CPE 453"
"2228","CPE","CPE 453"
"2228","CSC","CSC 101"
"2228","CSC","CSC 101"
"2228","CSC","CSC 101"
"2228","CSC","CSC 101"
"2228","CSC","CSC 123"
