"Term Code","Course"
"2228","CPE 428"
"2228","CPE 428"
"2228","EE 111"
"2228","EE 113"
"2228","EE 143"
"2228","EE 143"
"2228","EE 143"
"2228","EE 151"
"2228","EE 151"
"2228","EE 151"
"2228","EE 151"
"2228","EE 151"
"2228","EE 151"
"2228","EE 151"
"2228","EE 200"
"2228","EE 200"
"2228","EE 200"
"2228","EE 201"
"2228","EE 201"
"2228","EE 201"
"2228","EE 201"
"2228","EE 201"
"2228","EE 201"
"2228","EE 201"
"2228","EE 201"
"2228","EE 201"
"2228","EE 201"
"2228","EE 211"
"2228","EE 211"
"2228","EE 211"
"2228","EE 211"
"2228","EE 211"
"2228","EE 212"
"2228","EE 212"
"2228","EE 212"
"2228","EE 212"
"2228","EE 212"
"2228","EE 215"
"2228","EE 228"
"2228","EE 228"
"2228","EE 228"
"2228","EE 228"
"2228","EE 241"
"2228","EE 241"
"2228","EE 241"
"2228","EE 241"
"2228","EE 241"
"2228","EE 241"
"2228","EE 242"
"2228","EE 242"
"2228","EE 242"
"2228","EE 245"
"2228","EE 245"
"2228","EE 245"
"2228","EE 251"
"2228","EE 251"
"2228","EE 251"
"2228","EE 251"
"2228","EE 251"
"2228","EE 251"
"2228","EE 251"
"2228","EE 251"
"2228","EE 251"
"2228","EE 251"
"2228","EE 251"
"2228","EE 255"
"2228","EE 261"
"2228","EE 295"
"2228","EE 295"
"2228","EE 295"
"2228","EE 302"
"2228","EE 306"
"2228","EE 306"
"2228","EE 306"
"2228","EE 306"
"2228","EE 308"
"2228","EE 321"
"2228","EE 321"
"2228","EE 321"
"2228","EE 321"
"2228","EE 322"
"2228","EE 322"
"2228","EE 327"
"2228","EE 327"
"2228","EE 327"
"2228","EE 328"
"2228","EE 328"
"2228","EE 328"
"2228","EE 329"
"2228","EE 329"
"2228","EE 329"
"2228","EE 329"
"2228","EE 329"
"2228","EE 329"
"2228","EE 329"
"2228","EE 329"
"2228","EE 335"
"2228","EE 342"
"2228","EE 346"
"2228","EE 346"
"2228","EE 346"
"2228","EE 346"
"2228","EE 346"
"2228","EE 346"
"2228","EE 348"
"2228","EE 348"
"2228","EE 348"
"2228","EE 361"
"2228","EE 361"
"2228","EE 361"
"2228","EE 361"
"2228","EE 361"
"2228","EE 361"
"2228","EE 367"
"2228","EE 367"
"2228","EE 367"
"2228","EE 368"
"2228","EE 368"
"2228","EE 368"
"2228","EE 368"
"2228","EE 368"
"2228","EE 375"
"2228","EE 375"
"2228","EE 400"
"2228","EE 400"
"2228","EE 400"
"2228","EE 400"
"2228","EE 400"
"2228","EE 400"
"2228","EE 400"
"2228","EE 400"
"2228","EE 400"
"2228","EE 400"
"2228","EE 402"
"2228","EE 402"
"2228","EE 402"
"2228","EE 402"
"2228","EE 405"
"2228","EE 406"
"2228","EE 409"
"2228","EE 409"
"2228","EE 409"
"2228","EE 409"
"2228","EE 409"
"2228","EE 410"
"2228","EE 410"
"2228","EE 410"
"2228","EE 410"
"2228","EE 410"
"2228","EE 416"
"2228","EE 416"
"2228","EE 417"
"2228","EE 417"
"2228","EE 431"
"2228","EE 431"
"2228","EE 431"
"2228","EE 431"
"2228","EE 432"
"2228","EE 445"
"2228","EE 449"
"2228","EE 449"
"2228","EE 449"
"2228","EE 449"
"2228","EE 449"
"2228","EE 450"
"2228","EE 450"
"2228","EE 456"
"2228","EE 460"
"2228","EE 460"
"2228","EE 460"
"2228","EE 460"
"2228","EE 460"
"2228","EE 460"
"2228","EE 460"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 461"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 462"
"2228","EE 472"
"2228","EE 493"
"2228","EE 494"
"2228","EE 495"
"2228","EE 500"
"2228","EE 500"
"2228","EE 500"
"2228","EE 500"
"2228","EE 500"
"2228","EE 500"
"2228","EE 500"
"2228","EE 500"
"2228","EE 500"
"2228","EE 500"
"2228","EE 515"
"2228","EE 525"
"2228","EE 528"
"2228","EE 528"
"2228","EE 563"
"2228","EE 594"
"2228","EE 595"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
"2228","EE 599"
